season,team_id,team_name,player_id,player_name,position,prior_salary,keeper_cost,franchise_tag,keeper_status,counts_as_keeper,counts_as_active_roster,auction_eligible,source,source_date,confidence,notes
2026,Brandon,Brandon,,Jonathan Taylor,RB,41,46,True,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Brandon,Brandon,,Justin Jefferson,WR,36,46,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Brandon,Brandon,,Nico Collins,WR,26,36,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Brandon,Brandon,,Breece Hall,RB,21,31,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Brandon,Brandon,,Brock Bowers,TE,6,16,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Brandon,Brandon,,Christian McCaffrey,RB,36,46,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Coby,Coby,,Derrick Henry,RB,41,51,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Coby,Coby,,Kyren Williams,RB,21,31,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Coby,Coby,,Brian Thomas Jr,WR,6,16,False,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
2026,Coby,Coby,,Harold Fannin Jr,TE,1,6,True,CONFIRMED_KEEPER,True,True,False,google_sheet:2026_Fancy_Football_League_Rosters,2026-08-31,HIGH,Sheet total reconciles exactly; tag inferred from +$5 delta
