seed,player,position,base_value,team_marginal_value_noise_ratio,position_adjustment,scarcity_adjustment_NOTE,tier_adjustment,early_draft_adjustment,archetype_adjustment_tilt,is_star_candidate,star_reclamp_applied,final_highest_willingness,final_second_willingness,sale_price,winner,bidder_count,sale_price_divided_by_base_value,highest_willingness_divided_by_base_value,second_willingness_divided_by_base_value,stacked_premiums_flag
0,Jaylen Warren,RB,83.0,1.0656474935076337,1.3,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.25,1.6,1.0,True,True,207.5,207.5,207.5,CJ,12,2.5,2.5,2.5,True
0,Josh Jacobs,RB,126.0,1.1042513369442677,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.0,1.5944444444444446,1.0,True,True,315.0,315.0,256.0,James,12,2.032,2.5,2.5,False
0,Bhayshul Tuten,RB,95.0,0.9686077185463572,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.3,1.588888888888889,1.0,True,True,237.5,237.5,237.5,Reid,12,2.5,2.5,2.5,True
0,Jordan Mason,RB,63.0,0.7079991605243388,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.2,1.5833333333333333,1.0,True,True,157.5,157.5,157.5,Travis,12,2.5,2.5,2.5,True
0,Tee Higgins,WR,60.0,1.1086830784768362,1.3,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.25,1.5777777777777777,1.0,True,True,150.0,150.0,150.0,Shane,12,2.5,2.5,2.5,True
0,RJ Harvey,RB,71.0,0.9431450545852358,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.3,1.5722222222222222,1.0,True,True,177.5,177.5,100.5,Jason,12,1.415,2.5,2.5,True
0,Jaylen Waddle,WR,64.0,0.9196268151479323,1.3,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.25,1.5666666666666667,1.0,True,True,160.0,160.0,160.0,Brandon,12,2.5,2.5,2.5,True
0,DJ Moore,WR,48.0,0.9994123973303096,1.3,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.25,1.5611111111111111,1.0,True,True,120.0,120.0,102.5,Shane,12,2.135,2.5,2.5,True
0,Zach Charbonnet,RB,36.0,0.9752091544720913,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.3,1.5555555555555556,1.0,True,True,90.0,90.0,90.0,Jason,12,2.5,2.5,2.5,True
0,Kenny Gainwell,RB,64.0,1.2568966353644024,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.0,1.5499999999999998,1.0,True,True,125.12235623378679,124.6841462281487,78.24257472324972,Travis,11,1.223,1.948,1.948,False
0,Bucky Irving,RB,102.0,1.1175963205091994,1.0,no distinct scarcity signal exists in compute_willingness today -- position_fit_multiplier (position_targets) is the closest analog,1.0,1.0,1.0,False,False,209.302782665251,166.0534541107504,87.55284179185735,Coby,10,0.858,1.118,1.628,False
